stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,corridor,active
518147202000171,Cosmos,Avenida Cesário de Melo próximo ao 8960,-22.91563,-43.61602,0,518147202000100,BRT Transoeste,0
518147202000172,Cosmos,Avenida Cesário de Melo próximo ao 8960,-22.91572,-43.61604,0,518147202000100,BRT Transoeste,0
526151201000500,CTEX,Avenida Dom Joao VI próximo ao 1618,-23.00523,-43.55844,1,,BRT Transoeste,1
526151201000571,CTEx,Avenida Dom Joao VI próximo ao 1618,-23.00518,-43.55837,0,526151201000500,BRT Transoeste,1
526151201000572,CTEx,Avenida Dom Joao VI próximo ao 1618,-23.00527,-43.55841,0,526151201000500,BRT Transoeste,1
416119203000100,Curicica,Estrada dos Bandeirantes próximo ao 5000,-22.95985,-43.38868,1,,BRT Transcarioca,1
416119203000171,Curicica,Estrada dos Bandeirantes próximo ao 5000,-22.95981,-43.3887,0,416119203000100,BRT Transcarioca,1
416119203000172,Curicica,Estrada dos Bandeirantes próximo ao 5000,-22.95988,-43.38863,0,416119203000100,BRT Transcarioca,1
519149201000500,Curral Falso,Estrada da Pedra próximo ao 2,-22.93655,-43.66694,1,,BRT Transoeste,1
519149201000571,Curral Falso,Estrada da Pedra próximo ao 2,-22.93648,-43.66691,0,519149201000500,BRT Transoeste,1
519149201000572,Curral Falso,Estrada da Pedra próximo ao 2,-22.93648,-43.66698,0,519149201000500,BRT Transoeste,1
416122203000100,Divina Providência,Estrada dos Bandeirantes próximo ao 1793,-22.94066,-43.37255,1,,BRT Transcarioca,0
416122203000171,Divina Providência,Estrada dos Bandeirantes próximo ao 1793,-22.94067,-43.3726,0,416122203000100,BRT Transcarioca,0
416122203000172,Divina Providência,Estrada dos Bandeirantes próximo ao 1793,-22.94064,-43.37251,0,416122203000100,BRT Transcarioca,0
424132201000200,Dom Bosco,Avenida das Américas próximo ao 20055,-23.01821,-43.509,1,,BRT Transoeste,0
424132201000271,Dom Bosco,Avenida das Américas próximo ao 20055,-23.01817,-43.50896,0,424132201000200,BRT Transoeste,0
424132201000272,Dom Bosco,Avenida das Américas próximo ao 20055,-23.01825,-43.50904,0,424132201000200,BRT Transoeste,0
526151201000400,Embrapa,Avenida Dom Joao VI próximo ao 8201,-22.9996,-43.5823,1,,BRT Transoeste,0
526151201000471,Embrapa,Avenida Dom Joao VI próximo ao 8201,-22.99957,-43.58221,0,526151201000400,BRT Transoeste,0
526151201000472,Embrapa,Avenida Dom Joao VI próximo ao 8201,-22.99965,-43.58229,0,526151201000400,BRT Transoeste,0
320105203000199,Fundão,Terminal Aroldo Melodia,-22.83936,-43.23978,1,,BRT Transcarioca,1
320105203000191,Fundão,Terminal Aroldo Melodia,-22.83946,-43.23977,0,320105203000199,BRT Transcarioca,1
320104203000200,Galeão - Tom Jobim 1,Aeroporto Internacional do Rio de Janeiro - Galeão - Terminal 1,-22.81108,-43.25148,1,,BRT Transcarioca,1
320104203000271,Galeão - Tom Jobim 1,Aeroporto Internacional do Rio de Janeiro - Galeão - Terminal 1,-22.81107,-43.25154,0,320104203000200,BRT Transcarioca,1
320104203000100,Galeão - Tom Jobim 2,Aeroporto Internacional do Rio de Janeiro - Galeão - Terminal 2,-22.81453,-43.24626,1,,BRT Transcarioca,1
320104203000171,Galeão - Tom Jobim 2,Aeroporto Internacional do Rio de Janeiro - Galeão - Terminal 2,-22.81451,-43.24633,0,320104203000100,BRT Transcarioca,1
519149201000300,Gastão Rangel,Rua Felipe Cardoso próximo ao 1473,-22.92754,-43.67758,1,,BRT Transoeste,1
519149201000371,Gastão Rangel,Rua Felipe Cardoso próximo ao 1473,-22.92748,-43.67758,0,519149201000300,BRT Transoeste,0
519149201000372,Gastão Rangel,Rua Felipe Cardoso próximo ao 1473,-22.92753,-43.67767,0,519149201000300,BRT Transoeste,1
424132201001200,Gelson Fonseca,Avenida das Américas próximo ao 137,-23.00977,-43.44864,1,,BRT Transoeste,0
424132201001271,Gelson Fonseca,Avenida das Américas próximo ao 137,-23.00974,-43.44869,0,424132201001200,BRT Transoeste,0
424132201001272,Gelson Fonseca,Avenida das Américas próximo ao 137,-23.00981,-43.44864,0,424132201001200,BRT Transoeste,0
519149201000200,General Olímpio,Rua Felipe Cardoso próximo ao 822,-22.92222,-43.67966,1,,BRT Transoeste,1
519149201000271,General Olímpio,Rua Felipe Cardoso próximo ao 822,-22.92224,-43.67961,0,519149201000200,BRT Transoeste,1
519149201000272,General Olímpio,Rua Felipe Cardoso próximo ao 822,-22.92227,-43.67969,0,519149201000200,BRT Transoeste,1
424132201000700,Gilka Machado,Avenida das Américas próximo ao 146,-23.01699,-43.47697,1,,BRT Transoeste,1
424132201000771,Gilka Machado,Avenida das Américas próximo ao 146,-23.01694,-43.47694,0,424132201000700,BRT Transoeste,1
424132201000772,Gilka Machado,Avenida das Américas próximo ao 146,-23.01702,-43.47691,0,424132201000700,BRT Transoeste,1
424132201001000,Gláucio Gil,Avenida das Américas próximo ao 15500,-23.0124,-43.45888,1,,BRT Transoeste,1
424132201001071,Gláucio Gil,Avenida das Américas próximo ao 15500,-23.01225,-43.45848,0,424132201001000,BRT Transoeste,1
424132201001072,Gláucio Gil,Avenida das Américas próximo ao 15500,-23.01233,-43.45844,0,424132201001000,BRT Transoeste,1
424132201001081,Gláucio Gil,Avenida das Américas próximo ao 15500,-23.01245,-43.45931,0,424132201001000,BRT Transoeste,1
424132201001082,Gláucio Gil,Avenida das Américas próximo ao 15500,-23.01254,-43.45928,0,424132201001000,BRT Transoeste,1
424128201000400,Golfe Olímpico,Avenida das Américas próximo ao 10101,-23.00003,-43.41218,1,,BRT Transoeste,0
424128201000471,Golfe Olímpico,Avenida das Américas próximo ao 10101,-22.99998,-43.41221,0,424128201000400,BRT Transoeste,0
